Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Northwestern State University of Louisiana,Public,Southeast,Remote Town,0.84,22,1007,7026,0.564,0.2919,0.0454,0.006,0.0115,16605,5898,0.4023,0.3739,0.298,12.6,14000,23.13999939,27444.5,16.52000046,30100
Northwestern University,Private,Great Lakes,Small City,0.1532,33,1458,8855,0.5432,0.0567,0.0966,0.1704,0.0026,60729,14525,0.1416,0.9419,0.0626,1.3,18234,21.5,71885.5,6,58100
Northwood University-Michigan,Private,Great Lakes,Small City,0.6538,22,1029,2920,0.6952,0.1014,0.0455,0.0079,0.0031,32803,6534,0.3353,0.5414,0.4399,9.6,18750,25.45999908,49456,7.949999809,40800
Norwich University,Private,New England,Distant Town,0.6349,24,1065,2432,0.8117,0.0308,0.0567,0.0284,0.0152,47341,7147,0.2628,0.5672,0.1026,5.2,23000,20.01000023,84597,5.829999924,43800
Notre Dame College,Private,Great Lakes,Large Suburb,0.9024,20,943,1792,0.6496,0.2215,0.0167,0.0156,0.0045,36250,4881,0.3493,0.387,0.2539,7.9,12750,26.62999916,47506,8.210000038,39400
Notre Dame de Namur University,Private,Far West,Large Suburb,0.872,20,972,1209,0.2647,0.0571,0.3408,0.1199,0.0066,47115,8084,0.4201,0.4792,0.3454,5.4,18750,24.44000053,55277,5.710000038,47500
Notre Dame of Maryland University,Private,Mid-Atlantic,Large City,0.4964,22,1036,1220,0.5738,0.2828,0.0557,0.0541,0.0098,41871,7064,0.3024,0.5283,0.6175,5.2,21732.5,27.38999939,56669,6.710000038,45600
Nova Southeastern University,Private,Southeast,Large Suburb,0.5746,24,1084,5053,0.3129,0.2098,0.3101,0.0657,0.0028,40783,9482,0.4424,0.4049,0.3398,3.5,19482,27.12000084,31833,9.199999809,42300
Nyack College,Private,Mid-Atlantic,Large Suburb,0.9671,20,915,1818,0.236,0.2932,0.2761,0.099,0.0039,34586,6525,0.5544,0.4276,0.343,9.1,15750,29.56999969,44111,13.5,39200
Oakland University,Public,Great Lakes,Large Suburb,0.66,23,1070,16113,0.7663,0.0827,0.0276,0.0419,0.0033,19198,8482,0.2034,0.4295,0.206,6.2,18250,22.19000053,56986,5.739999771,37900
Oakwood University,Private,Southeast,Mid-size City,0.3435,20,924,1854,0.0102,0.8495,0.0237,0.0016,0.0038,34705,5307,0.5066,0.3632,0.1472,10.7,22000,21.22999954,42094.5,10.61999989,27300
Oberlin College,Private,Great Lakes,Fringe Town,0.3041,30,1354,2894,0.6952,0.0549,0.0729,0.0422,0.001,59683,9872,0.1072,0.8857,0.0021,2,23250,19.36000061,97279,6.400000095,33200
Occidental College,Private,Far West,Large City,0.4239,29,1303,2101,0.515,0.0447,0.158,0.1285,0.0024,60655,10402,0.2131,0.8777,0.0042,2.2,20900,19.61000061,67714.5,8.569999695,41100
Oglethorpe University,Private,Southeast,Large Suburb,0.5576,25,1131,1020,0.349,0.1843,0.101,0.0392,0.0029,43689,4728,0.3979,0.6201,0.1109,6.6,18459,22.32999992,46214.5,7.289999962,37600
Ohio Christian University,Private,Great Lakes,Distant Town,0.9711,20,939,3155,0.5842,0.3078,0.0228,0.0067,0.0041,33077,1476,0.5686,0.3143,0.6811,11.5,10035,28.5,35443,9.109999657,29400
Ohio Dominican University,Private,Great Lakes,Large City,0.494,22,1028,1483,0.6258,0.263,0.031,0.0115,0.004,40370,6712,0.347,0.4092,0.2673,7.4,21081.5,24.95000076,49137.5,7.300000191,35200
Ohio Northern University,Private,Great Lakes,Fringe Town,0.6785,26,1153,2205,0.854,0.0372,0.0168,0.0122,0.0005,49618,8551,0.24,0.7175,0.0444,2.7,25000,19.96999931,89742,5.739999771,57500
Ohio State University-Main Campus,Public,Great Lakes,Large City,0.5553,29,1289,43139,0.7233,0.0598,0.0338,0.0539,0.0016,24524,11284,0.2224,0.8323,0.0844,7.1,17000,21.04000092,65600.5,6.510000229,38900
Ohio University-Main Campus,Public,Great Lakes,Distant Town,0.7295,24,1104,23331,0.8324,0.0473,0.024,0.0091,0.0017,23605,8294,0.2339,0.6657,0.2772,15,14457,21.93000031,62815,7.820000172,35800
Ohio Wesleyan University,Private,Great Lakes,Large Suburb,0.7533,25,1123,1817,0.7226,0.0611,0.0457,0.0264,0.0017,52819,8057,0.2177,0.6319,0.0098,5.1,22192,19.5,87265,5.320000172,36500
Oklahoma Baptist University,Private,Southwest,Distant Town,0.5646,24,1098,1882,0.7056,0.0489,0.0473,0.0069,0.0484,31759,6090,0.3326,0.546,0.1228,5.7,12000,20.61000061,58859,8.270000458,34100
Oklahoma Christian University,Private,Southwest,Large City,0.6321,25,1124,1949,0.8784,0.0385,0.0282,0.0334,0.0215,29359,6581,0.2707,0.4875,0.0418,6.3,15331,20.10000038,70327,7.46999979,33200
Oklahoma City University,Private,Southwest,Large City,0.7198,26,1163,1954,0.5773,0.0619,0.0793,0.0205,0.0271,41431,7055,0.1991,0.6075,0.1634,7.8,19749,24.01000023,52723,9.020000458,37000
Oklahoma Panhandle State University,Public,Southwest,Distant Rural,0.4767,19,890,1238,0.6365,0.1002,0.1575,0.0081,0.038,15439,4967,0.4554,0.2264,0.2335,16.2,9375,22.62000084,33556,10.81000042,32300
Oklahoma State University-Main Campus,Public,Southwest,Distant Town,0.7602,25,1138,20314,0.7222,0.05,0.0472,0.0153,0.0609,21338,8254,0.2914,0.5956,0.1273,8,14750.5,21.39999962,52462,9.010000229,39800
Oklahoma Wesleyan University,Private,Southwest,Distant Town,0.4934,21,981,1110,0.6757,0.0721,0.0712,0.0027,0.0712,32241,5309,0.4207,0.5688,0.4769,7.4,16664,29.70999908,53772,9.260000229,46700
Old Dominion University,Public,Southeast,Mid-size City,0.7679,21,1016,19483,0.5207,0.2588,0.0662,0.0443,0.0043,20531,8729,0.3395,0.5117,0.2658,6.8,18000,23.12000084,48850,7.599999905,39200
Olivet College,Private,Great Lakes,Distant Rural,0.5148,20,927,1016,0.7982,0.1033,0.0561,0.0049,0.0069,31515,5258,0.457,0.4341,0.0527,12.1,19000,20.37000084,57515,7.099999905,31000
Olivet Nazarene University,Private,Great Lakes,Small Suburb,0.8196,24,1105,3325,0.7973,0.1011,0.0559,0.0177,0.0009,39125,6769,0.3164,0.5724,0.1832,4.7,19802,22.75,68140,6.739999771,33900
Oral Roberts University,Private,Southwest,Large City,0.4354,23,1037,2884,0.5201,0.1488,0.0752,0.0229,0.0329,35070,6551,0.4396,0.5336,0.1363,10.8,22500,21.82999992,53889,7.809999943,32200
Oregon Institute of Technology,Public,Far West,Remote Town,0.7135,23,1025,3443,0.7511,0.0119,0.0746,0.0561,0.0096,18801,6667,0.3621,0.444,0.3864,5.1,18333.5,24.70999908,38541,9.420000076,48100
Oregon State University,Public,Far West,Small City,0.7894,24,1102,22349,0.6897,0.0128,0.0733,0.0662,0.0069,22974,8692,0.3339,0.6147,0.1938,5,16846,21.57999992,54955,7.5,41600
